Manufacturer,Price,Body Style,Fuel Efficiency,Engine Volume,Powertrain,License Status,Manufacture Year,Variant,Location,Distance Covered,Gearbox,Owner_Type
Toyota,135400.0,sedan,135,3.5,Gas,yes,2007,Camry,marrakech,75000,Manual,First
Mercedes-Benz,146600.0,van,199,2.2,Diesel,yes,2009,Vito,rabat,172050,Manual,Second
Mercedes-Benz,328989.0,hatch,9,,Other,yes,2015,B-Class Electric Drive,oujda,30000,Automatic,First
Volkswagen,16800.0,other,280,1.9,Diesel,no,1997,Passat B5,dakhla,52000,Manual,Second
BMW,129900.0,sedan,300,2.5,Gas,yes,2004,525,mekness,66000,Automatic,First
Toyota,169500.0,sedan,140,2.4,Gas,yes,2007,Camry,tetouan,38998,Automatic,First
Volkswagen,367500.0,crossover,98,,Petrol,yes,2013,Touareg,tanger,88381,Manual,First
Audi,67400.0,sedan,261,1.8,Gas,yes,2000,A6,mekness,79782,Manual,Second
Volkswagen,13500.0,sedan,265,1.8,Petrol,yes,1988,Jetta,dakhla,115000,Manual,Second
Mercedes-Benz,94700.0,other,280,,Diesel,yes,2001,Vito,rabat,105000,Manual,First
Audi,120000.0,other,120,1.8,Petrol,yes,2000,TT,rabat,31900,Manual,First
BMW,95800.0,sedan,287,3.0,Petrol,yes,2001,530,rabat,68000,Manual,First
BMW,461000.0,sedan,5,2.0,Petrol,yes,2016,520,agadir,78000,Automatic,First
Volkswagen,15700.0,hatch,247,1.4,Petrol,no,1999,Golf IV,mekness,46166,Manual,Second
Mercedes-Benz,395000.0,crossover,162,3.0,Diesel,yes,2009,GL 320,Casablanca,20000,Automatic,First
Mitsubishi,149900.0,vagon,93,3.0,Gas,yes,2007,Outlander XL,dakhla,73000,Manual,Second
Audi,202500.0,sedan,245,3.0,Diesel,yes,2006,A8,rabat,95980,Manual,First
Toyota,433500.0,other,1,2.8,Diesel,yes,2016,Hilux,mekness,25500,Manual,First
Audi,78200.0,sedan,300,,Gas,yes,1999,A6,Casablanca,83128,Manual,First
Mercedes-Benz,1506000.0,crossover,82,5.5,Petrol,yes,2014,G 63 AMG,sefrou,46000,Manual,First
Audi,74000.0,vagon,210,3.0,Diesel,no,2006,A6,tanger,38214,Manual,Second
Renault,132850.0,sedan,64,2.0,Gas,yes,2011,Fluence,dakhla,66339,Manual,Second
Mercedes-Benz,233300.0,crossover,190,6.3,Petrol,yes,2007,ML 63 AMG,tanger,65743,Manual,First
Mercedes-Benz,26500.0,sedan,200,2.3,Gas,yes,1986,190,mekness,13008,Manual,First
Volkswagen,48500.0,van,380,2.0,Diesel,yes,2004,Caddy,tanger,32251,Manual,First
Toyota,100200.0,sedan,115,1.6,Gas,yes,2008,Corolla,mekness,9500,Automatic,First
Audi,275300.0,hatch,180,2.0,Diesel,yes,2011,A5,rabat,115000,Manual,Second
Volkswagen,138900.0,van,176,2.5,Diesel,yes,2008,T5 (Transporter),oujda,63000,Manual,Second
Renault,93600.0,van,100,1.5,Diesel,yes,2012,Kangoo,oujda,53766,Manual,First
Volkswagen,100200.0,other,156,1.9,Diesel,yes,2009,Golf Variant,tetouan,38002,Manual,First
Mercedes-Benz,63350.0,van,240,2.2,Diesel,yes,2001,Vito,marrakech,32000,Automatic,First
Toyota,257500.0,sedan,80,2.5,Gas,yes,2014,Camry,oujda,79000,Automatic,First
Volkswagen,269800.0,sedan,2,1.6,Diesel,yes,2016,Jetta,hosseima,72132,Automatic,Second
BMW,47589.0,sedan,267,2.0,Gas,yes,1991,520,dakhla,117837,Manual,Second
Mercedes-Benz,123289.0,van,1,2.2,Other,yes,2006,Vito,tetouan,8896,Manual,First
Toyota,145300.0,sedan,158,2.0,Gas,yes,2009,Avensis,hosseima,28470,Manual,First
Mercedes-Benz,317450.0,sedan,40,1.8,Petrol,yes,2014,C-Class,dakhla,115692,Automatic,First
Mercedes-Benz,75989.0,sedan,200,2.6,Gas,yes,2001,C-Class,tetouan,45000,Manual,First
Mercedes-Benz,2198989.0,crossover,0,5.5,Petrol,yes,2016,GLS 63,oujda,75000,Manual,First
Mercedes-Benz,196890.0,crossover,230,3.0,Diesel,yes,2007,R 320,oujda,71993,Manual,First
Toyota,136500.0,crossover,201,2.0,Petrol,yes,2006,Rav 4,tetouan,45000,Manual,First
Volkswagen,351000.0,sedan,144,3.6,Petrol,yes,2013,Passat CC,tetouan,45000,Manual,First
Audi,747000.0,crossover,20,3.0,Petrol,yes,2014,Q5,rabat,45000,Manual,First
Mitsubishi,76000.0,sedan,158,1.6,Petrol,yes,2007,Lancer,Casablanca,30000,Manual,First
Renault,171393.65,van,0,1.5,Diesel,yes,2016,Dokker,Casablanca,5500,Manual,First
Mitsubishi,185450.0,crossover,135,3.0,Gas,yes,2008,Pajero Wagon,tanger,20967,Automatic,First
Volkswagen,123850.0,van,190,75.0,Diesel,yes,2011,T5 (Transporter) ,sefrou,52000,Manual,First
Mercedes-Benz,384000.0,other,135,5.5,Petrol,yes,2008,CL 550,hosseima,69749,Manual,First
BMW,505000.0,sedan,5,2.0,Petrol,yes,2016,520,agadir,67000,Manual,First
Volkswagen,32000.0,vagon,275,1.9,Diesel,no,2001,Passat B5,agadir,49000,Automatic,First
Volkswagen,241000.0,crossover,98,2.0,Diesel,yes,2013,Tiguan,oujda,53000,Automatic,First
Renault,80400.0,van,181,2.0,Diesel,yes,2007,Trafic,sefrou,21000,Automatic,First
Toyota,185989.0,crossover,157,2.7,Gas,yes,2007,Land Cruiser Prado,rabat,8700,Manual,First
Volkswagen,87200.0,hatch,164,1.4,Petrol,yes,2008,Polo,hosseima,73783,Automatic,Second
Toyota,461000.0,crossover,97,4.0,Petrol,yes,2010,4Runner,sefrou,41000,Manual,First
Mercedes-Benz,112500.0,sedan,266,5.0,Gas,yes,2004,S 500,marrakech,72000,Automatic,Second
Mercedes-Benz,67200.0,van,196,2.2,Diesel,yes,2002,Vito,sefrou,40000,Manual,First
Volkswagen,103500.0,van,205,2.0,Petrol,yes,2006,Passat B6,dakhla,130000,Manual,First
Volkswagen,94700.0,vagon,250,1.9,Diesel,yes,2002,Passat B5,oujda,70000,Manual,First
Mercedes-Benz,,crossover,1,3.0,Petrol,yes,2016,GLE-Class,agadir,40000,Manual,First
Toyota,194800.0,crossover,220,3.0,Diesel,yes,2004,Land Cruiser Prado,mekness,36000,Manual,First
BMW,328989.0,sedan,130,,Petrol,yes,2009,750,oujda,14061,Manual,First
BMW,79300.0,sedan,350,,Petrol,yes,1997,520,mekness,22000,Manual,First
Volkswagen,115600.0,van,153,1.6,Diesel,yes,2012,Caddy,oujda,79894,Manual,First
Mitsubishi,100200.0,sedan,92,2.0,Petrol,yes,2010,Lancer X,tanger,44238,Manual,First
Mercedes-Benz,1228989.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,sefrou,85445,Manual,Second
Mercedes-Benz,71800.0,sedan,286,,Other,yes,2000,E-Class,tanger,54884,Manual,Second
Renault,26500.0,sedan,170,1.9,Diesel,no,2003,Scenic,oujda,86514,Manual,First
BMW,379600.0,crossover,163,5.0,Petrol,yes,2011,X5 M,hosseima,67914,Manual,First
Mercedes-Benz,101500.0,van,280,2.2,Diesel,yes,2005,Vito,hosseima,72524,Automatic,Second
Mercedes-Benz,457900.0,sedan,95,6.3,Other,yes,2011,S 550,rabat,137000,Manual,Second
Volkswagen,100200.0,van,268,2.5,Diesel,yes,2003,T4 (Transporter),oujda,75020,Manual,First
Toyota,110100.0,sedan,142,2.4,Petrol,yes,2007,Camry,oujda,19317,Manual,First
Volkswagen,40800.0,sedan,300,2.8,Gas,yes,1996,Passat B4,tetouan,30500,Automatic,First
Toyota,76000.0,other,220,1.8,Petrol,yes,2001,Celica,hosseima,42591,Manual,First
Toyota,334500.0,sedan,7,2.5,Gas,yes,2015,Camry,sefrou,37442,Manual,First
Toyota,521500.0,crossover,45,3.0,Diesel,yes,2014,Land Cruiser Prado,tetouan,168205,Manual,First
BMW,96000.0,sedan,175,3.0,Petrol,no,2006,330,tanger,37300,Automatic,Second
Renault,123300.0,vagon,160,1.5,Diesel,yes,2011,Laguna,hosseima,12076,Manual,First
BMW,46300.0,sedan,240,2.5,Diesel,no,2002,525,tanger,33496,Manual,First
Toyota,510500.0,other,4,3.0,Diesel,yes,2016,Hilux,tetouan,58000,Manual,First
Mitsubishi,144200.0,crossover,124,3.0,Gas,yes,2008,Pajero Sport,tetouan,58000,Manual,First
BMW,268700.0,vagon,142,2.0,Diesel,yes,2012,520,dakhla,59000,Manual,Second
Audi,1013442.0,crossover,0,3.0,Diesel,yes,2016,Q7,oujda,103000,Manual,First
Volkswagen,115600.0,van,140,2.0,Diesel,yes,2011,T6 (Transporter) ,tanger,19168,Automatic,First
Mercedes-Benz,155200.0,van,180,2.2,Diesel,yes,2007,Vito,Casablanca,76000,Automatic,First
Mercedes-Benz,1208989.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,tetouan,41284,Manual,First
Volkswagen,224252.94,van,1,1.6,Diesel,yes,2015,Caddy,oujda,28414,Manual,First
Volkswagen,40250.0,sedan,262,1.8,Petrol,yes,1994,Vento,hosseima,64399,Manual,First
Audi,182700.0,vagon,131,2.0,Diesel,yes,2009,A4,tanger,41840,Manual,First
Mitsubishi,30900.0,hatch,300,1.8,Petrol,yes,1989,Galant,tanger,67557,Manual,First
Mercedes-Benz,,crossover,131,5.0,Petrol,yes,2008,G 500,oujda,29000,Automatic,Second
Mitsubishi,96900.0,hatch,125,1.8,Petrol,yes,2009,Lancer X Sportback,oujda,64000,Manual,First
Volkswagen,57300.0,van,505,2.4,Diesel,yes,1995,T4 (Transporter),tetouan,14800,Manual,First
Renault,92500.0,sedan,57,1.2,Gas,yes,2013,Logan,hosseima,18453,Manual,First
Mercedes-Benz,297300.0,crossover,149,5.46,Petrol,yes,2009,ML 550,marrakech,19828,Automatic,Second
Mercedes-Benz,139800.0,van,193,2.2,Other,yes,2011,Vito,tanger,28052,Automatic,First
Mercedes-Benz,250900.0,sedan,197,2.2,Diesel,yes,2010,E-Class,Casablanca,16000,Manual,First
Audi,339989.0,sedan,2,1.4,Petrol,yes,2016,A3,agadir,6006,Manual,First
Audi,37700.0,vagon,273,2.5,Diesel,no,2003,A6,agadir,100000,Automatic,Second
Mercedes-Benz,241000.0,sedan,110,1.8,Petrol,yes,2011,C-Class,rabat,136997,Automatic,First
BMW,164000.0,crossover,85,4.8,Petrol,no,2010,X5,agadir,65000,Manual,First
Mitsubishi,29800.0,sedan,150,2.0,Gas,yes,1996,Galant,agadir,66000,Manual,First
Mitsubishi,136500.0,other,48,1.6,Petrol,yes,2012,Lancer X,hosseima,13506,Automatic,First
Mercedes-Benz,763500.0,crossover,84,3.0,Diesel,yes,2014,GL 350,tanger,28741,Manual,First
Mitsubishi,212800.0,crossover,130,2.5,Diesel,yes,2011,Pajero Sport,rabat,54898,Manual,Third
Toyota,127785.8,hatch,1,1.0,Petrol,yes,2016,Yaris,tanger,53285,Automatic,First
Volkswagen,,van,160,2.0,Diesel,yes,2011,T6 (Transporter) ,hosseima,20842,Manual,First
BMW,61900.0,sedan,10,2.8,Petrol,yes,1989,328,agadir,80000,Automatic,Second
Volkswagen,69400.0,van,305,,Diesel,yes,2004,Caddy,oujda,85112,Manual,First
Volkswagen,,van,207,2.0,Diesel,yes,2012,T5 (Transporter) ,tanger,28881,Automatic,First
Volkswagen,73989.0,hatch,195,1.4,Diesel,yes,2004,Golf V,oujda,127510,Manual,Second
Toyota,31989.0,other,300,1.6,Petrol,yes,1991,Corolla,rabat,73000,Manual,First
Mercedes-Benz,134300.0,sedan,300,2.2,Diesel,yes,2003,E-Class,sefrou,83929,Automatic,First
Mitsubishi,70700.0,sedan,161,1.6,Gas,yes,2006,Lancer,oujda,94500,Manual,Second
BMW,59500.0,sedan,200,3.5,Gas,yes,1998,535,hosseima,18335,Manual,First
BMW,112500.0,hatch,220,2.0,Petrol,yes,2005,118,tanger,46983,Automatic,Second
Renault,68300.0,vagon,125,2.0,Petrol,yes,2003,Laguna,agadir,30000,Manual,First
Mercedes-Benz,89200.0,other,199,2.2,Diesel,yes,2001,Vito,rabat,47490,Manual,First
Renault,67200.0,van,228,2.5,Diesel,yes,2005,Trafic,hosseima,65178,Manual,First
Volkswagen,384000.0,crossover,20,2.0,Diesel,yes,2014,Tiguan,oujda,51000,Automatic,First
Mercedes-Benz,459900.0,sedan,95,6.2,Petrol,yes,2011,S 500,mekness,231673,Manual,First
Mercedes-Benz,120000.0,sedan,263,3.2,Diesel,yes,2001,E-Class,hosseima,26013,Automatic,First
BMW,30889.0,sedan,340,2.4,Diesel,yes,1988,524,tetouan,29000,Automatic,First
Mercedes-Benz,48500.0,other,525,2.3,Diesel,yes,1995,Sprinter 208,hosseima,62192,Manual,First
Mercedes-Benz,140900.0,sedan,255,2.7,Diesel,yes,2003,E-Class,oujda,20000,Manual,First
Toyota,140900.0,sedan,137,2.4,Petrol,yes,2008,Camry,tetouan,37000,Manual,First
BMW,,crossover,0,2.0,Diesel,yes,2016,X5,hosseima,69681,Manual,First
Volkswagen,177200.0,sedan,116,2.0,Diesel,yes,2011,Passat B7,Casablanca,41000,Automatic,First
Audi,244500.0,sedan,124,3.0,Diesel,yes,2008,A8,mekness,17000,Manual,Second
Volkswagen,84800.0,van,226,1.9,Diesel,yes,2005,T5 (Transporter) ,tanger,59136,Manual,First
BMW,307000.0,crossover,116,,Petrol,yes,2008,X5,mekness,70000,Automatic,First
Mitsubishi,95547.0,sedan,180,20.0,Petrol,yes,2007,Lancer X,tetouan,27090,Automatic,First
Mitsubishi,362000.0,other,0,2.4,Diesel,yes,2016,L 200,mekness,38000,Automatic,First
Toyota,118000.0,hatch,74,1.4,Other,yes,2010,Prius,oujda,69775,Manual,Second
Volkswagen,127900.0,van,273,2.5,Diesel,yes,2003,T4 (Transporter),Casablanca,78000,Automatic,Second
Renault,98000.0,vagon,179,1.5,Diesel,yes,2010,Megane,oujda,80400,Manual,First
BMW,30889.0,sedan,260,2.0,Diesel,no,2000,320,hosseima,19947,Manual,First
BMW,382900.0,crossover,110,4.4,Petrol,yes,2010,X6,Casablanca,19000,Automatic,First
Volkswagen,56200.0,van,260,1.9,Diesel,no,2005,Touran,Casablanca,31000,Manual,First
Mercedes-Benz,214600.0,van,127,1.8,Diesel,yes,2013,B 180,oujda,16810,Manual,First
Mercedes-Benz,37500.0,van,395,2.3,Diesel,no,1997,Vito,oujda,61313,Manual,First
Mitsubishi,101300.0,sedan,95,2.0,Petrol,yes,2008,Lancer X,tanger,39419,Manual,First
Volkswagen,75450.0,sedan,132,1.6,Other,yes,2004,Bora,agadir,51530,Manual,First
Mercedes-Benz,94700.0,sedan,290,2.7,Diesel,yes,1999,E-Class,oujda,24571,Manual,First
Audi,334500.0,vagon,152,3.0,Diesel,yes,2012,A6,tetouan,80000,Manual,First
Mercedes-Benz,140900.0,van,185,2.2,Diesel,yes,2011,Vito,marrakech,45000,Automatic,First
Mitsubishi,107900.0,other,200,2.5,Diesel,yes,2007,L 200,dakhla,19000,Manual,First
Volkswagen,106800.0,van,196,1.6,Diesel,yes,2011,Caddy,hosseima,11209,Automatic,First
BMW,768989.0,crossover,0,2.5,Diesel,yes,2016,X5,dakhla,62000,Automatic,First
Volkswagen,108989.0,van,165,1.6,Diesel,yes,2012,Caddy,tanger,25899,Automatic,First
Mercedes-Benz,1374000.0,sedan,9,3.0,Diesel,yes,2014,S 350,tetouan,39000,Manual,First
BMW,494000.0,sedan,110,,Other,yes,2012,535,tanger,65668,Manual,First
Toyota,95800.0,sedan,300,2.4,Petrol,yes,2004,Camry,agadir,56121,Manual,First
Audi,175000.0,sedan,250,2.0,Diesel,yes,2008,A6,marrakech,108000,Automatic,First
Volkswagen,172800.0,van,194,2.0,Diesel,yes,2012,T5 (Transporter) ,sefrou,179000,Manual,First
Volkswagen,20450.0,hatch,94,1.1,Petrol,yes,1982,Golf II,hosseima,55598,Automatic,First
Audi,108989.0,vagon,198,2.7,Petrol,yes,2003,A6 Allroad,Casablanca,29477,Manual,First
Mercedes-Benz,70500.0,sedan,435,3.2,Petrol,yes,1994,S 140,tanger,67995,Manual,First
Renault,75100.0,van,208,1.5,Diesel,yes,2008,Kangoo,marrakech,47700,Manual,Second
Mercedes-Benz,141450.0,sedan,197,2.7,Diesel,yes,2002,E-Class,sefrou,78000,Manual,First
Mercedes-Benz,167500.0,van,75,2.0,Diesel,yes,2011,Vito,oujda,60000,Automatic,Second
Toyota,92500.0,hatch,93,1.6,Petrol,yes,2007,Auris,Casablanca,54774,Automatic,First
BMW,41900.0,vagon,240,3.0,Diesel,no,2001,530,sefrou,40000,Manual,First
BMW,49800.0,sedan,11,2.5,Diesel,yes,1994,325,marrakech,44000,Manual,Second
Renault,73800.0,sedan,219,1.6,Gas,yes,2007,Megane,rabat,79000,Manual,First
Renault,125700.0,vagon,177,1.5,Diesel,yes,2012,Laguna,mekness,94000,Automatic,Second
Mercedes-Benz,151900.0,other,225,,Other,yes,2008,Vito,agadir,47003,Manual,First
Mitsubishi,106800.0,crossover,92,2.0,Petrol,yes,2008,Outlander,rabat,178280,Manual,First
Mercedes-Benz,912000.0,crossover,70,3.0,Diesel,yes,2013,GL 350,tetouan,21000,Manual,First
Volkswagen,123300.0,van,165,1.9,Diesel,yes,2010,Caddy,tanger,42750,Manual,First
Volkswagen,70500.0,van,310,1.9,Diesel,yes,1997,T4 (Transporter),rabat,80000,Manual,First
Volkswagen,35150.0,sedan,197,2.0,Petrol,yes,1996,Passat B4,Casablanca,55000,Automatic,Third
Mercedes-Benz,437900.0,hatch,2,,Other,yes,2015,B-Class Electric Drive,rabat,71000,Manual,First
Audi,48700.0,sedan,400,2.6,Petrol,yes,1996,A6,dakhla,170000,Manual,Second
Mercedes-Benz,,sedan,245,2.2,Diesel,yes,2002,E-Class,Casablanca,20000,Manual,First
BMW,279500.0,crossover,210,3.0,Gas,yes,2008,X5,mekness,83000,Automatic,First
Mitsubishi,158500.0,crossover,167,3.0,Gas,yes,2008,Pajero Wagon,agadir,56000,Manual,First
Renault,101300.0,van,94,2.0,Diesel,yes,2012,Trafic,tanger,22874,Manual,First
Renault,46500.0,van,207,1.5,Diesel,yes,2003,Kangoo,rabat,78958,Manual,Second
Toyota,139800.0,sedan,123,3.5,Petrol,yes,2007,Camry,hosseima,25238,Manual,First
Mercedes-Benz,47400.0,sedan,225,2.0,Gas,yes,1995,E-Class,hosseima,57456,Automatic,First
Audi,125500.0,sedan,85,1.8,Petrol,yes,2007,A4,hosseima,169006,Manual,First
Renault,26500.0,sedan,105,1.4,Petrol,yes,1990,19,dakhla,8000,Manual,First
Audi,43000.0,vagon,300,2.5,Diesel,no,2001,A6,sefrou,111000,Automatic,First
Toyota,39150.0,hatch,260,1.3,Petrol,yes,1996,Corolla,mekness,65000,Manual,First
Toyota,158214.0,crossover,115,2.0,Petrol,yes,2007,Rav 4,marrakech,56000,Manual,First
Volkswagen,766890.0,van,1,2.0,Diesel,yes,2015,Multivan,Casablanca,68333,Automatic,Second
Toyota,183800.0,crossover,154,2.7,Petrol,yes,2005,Land Cruiser Prado,sefrou,70920,Manual,First
BMW,70500.0,sedan,280,2.0,Petrol,yes,1997,320,oujda,3600,Automatic,First
Mercedes-Benz,194800.0,van,162,1.8,Diesel,yes,2012,B 180,tanger,59923,Manual,First
Toyota,253500.0,sedan,75,2.5,Gas,yes,2011,Camry,marrakech,63000,Manual,Third
Mitsubishi,90850.0,sedan,98,1.5,Petrol,yes,2010,Lancer X,dakhla,58205,Automatic,First
Volkswagen,114500.0,van,176,1.6,Diesel,yes,2012,Caddy,hosseima,51346,Automatic,First
BMW,690900.0,crossover,1,2.0,Diesel,yes,2016,X5,mekness,53213,Manual,First
BMW,328989.0,other,73,2.0,Petrol,yes,2012,320,mekness,22900,Manual,First
BMW,461000.0,crossover,128,4.4,Petrol,yes,2011,X5 M,tanger,50436,Manual,First
Audi,151900.0,sedan,150,,Petrol,yes,2006,A8,dakhla,75000,Manual,First
Volkswagen,93800.0,hatch,168,1.2,Diesel,yes,2013,Polo,marrakech,35268,Manual,Second
Mercedes-Benz,73800.0,sedan,235,2.2,Diesel,yes,1999,C-Class,agadir,76000,Manual,First
BMW,68300.0,sedan,330,2.5,Petrol,yes,1999,525,sefrou,70000,Automatic,First
Mercedes-Benz,140900.0,hatch,150,2.0,Diesel,yes,2008,B 180,oujda,60000,Manual,First
BMW,233685.0,other,105,3.0,Petrol,yes,2008,335,Casablanca,55000,Manual,First
Mitsubishi,27600.0,other,200,2.4,Petrol,no,2002,Lancer,mekness,87670,Manual,First
Volkswagen,115600.0,van,120,2.0,Diesel,yes,2007,Touran,tanger,21740,Manual,First
Volkswagen,80400.0,sedan,178,1.8,Gas,yes,2001,Passat B5,tetouan,60000,Manual,First
Volkswagen,200300.0,van,1,2.2,Diesel,yes,2013,T5 (Transporter) ,marrakech,61325,Manual,First
Volkswagen,183800.0,vagon,149,1.4,Gas,yes,2013,Passat B7,dakhla,48500,Manual,First
Volkswagen,131000.0,van,196,2.0,Diesel,yes,2011,T5 (Transporter) ,hosseima,34688,Manual,First
Audi,173900.0,hatch,160,1.4,Petrol,yes,2011,A3,hosseima,42070,Automatic,First
Volkswagen,61000.0,other,1,2.5,Diesel,yes,1999,LT,sefrou,68000,Manual,Third
Volkswagen,444500.0,crossover,37,3.0,Diesel,yes,2012,Touareg,hosseima,74290,Manual,First
BMW,734900.0,crossover,70,3.0,Diesel,yes,2014,X5,rabat,38000,Manual,First
Toyota,130890.0,sedan,129,2.4,Petrol,yes,2007,Camry,dakhla,75000,Manual,First
Volkswagen,235500.0,sedan,1,1.4,Petrol,yes,2015,Jetta,rabat,42023,Automatic,First
Mitsubishi,130989.0,crossover,235,3.0,Gas,yes,2007,Pajero Wagon,oujda,45295,Manual,First
Renault,114500.0,vagon,165,1.5,Diesel,yes,2012,Megane,tanger,26234,Manual,First
Mercedes-Benz,195900.0,sedan,190,3.0,Diesel,yes,2007,E-Class,dakhla,55000,Manual,First
Toyota,108100.0,other,83,1.6,Other,yes,2008,Corolla,dakhla,60000,Automatic,Second
Mercedes-Benz,94700.0,van,290,2.2,Diesel,yes,2005,Vito,tetouan,31000,Automatic,First
Renault,145310.45,vagon,0,1.5,Diesel,yes,2016,Logan,sefrou,31500,Automatic,First
Toyota,217000.0,crossover,250,4.2,Diesel,yes,2000,Land Cruiser 100,rabat,65000,Manual,Second
Mercedes-Benz,76000.0,sedan,370,2.2,Petrol,yes,1995,E-Class,Casablanca,83000,Manual,First
Audi,252000.0,crossover,167,3.6,Petrol,yes,2008,Q7,dakhla,72000,Manual,First
Mercedes-Benz,274000.0,sedan,130,5.5,Petrol,yes,2007,S 550,mekness,47000,Manual,First
Audi,177400.0,vagon,152,2.0,Diesel,yes,2011,A4,tanger,46808,Manual,Second
Mitsubishi,246500.0,other,57,2.5,Other,yes,2013,L 200,dakhla,90000,Automatic,First
Toyota,145500.0,sedan,158,2.4,Gas,yes,2008,Camry,agadir,41000,Automatic,Second
Renault,20989.0,vagon,260,1.9,Diesel,no,2001,Laguna,tanger,61738,Manual,First
Renault,84800.0,vagon,170,1.5,Diesel,no,2013,Megane,dakhla,28360,Manual,First
Audi,43000.0,sedan,315,2.3,Gas,yes,1991,100,rabat,52126,Manual,First
Mercedes-Benz,87000.0,van,293,,Diesel,yes,1999,Vito,Casablanca,19500,Manual,First
Volkswagen,314851.25,hatch,0,2.0,Diesel,yes,2015,Golf VII,tanger,101065,Manual,First
BMW,47400.0,sedan,260,2.0,Gas,yes,1990,520,rabat,92000,Manual,First
Audi,285000.0,sedan,105,2.0,Petrol,yes,2012,A6,hosseima,41994,Manual,First
Volkswagen,204900.0,other,45,2.0,Diesel,yes,2013,Passat B7,sefrou,67000,Manual,Second
Toyota,,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,oujda,71803,Manual,First
BMW,312500.0,crossover,160,4.8,Gas,yes,2008,X5,tetouan,35000,Automatic,First
Mitsubishi,228000.0,crossover,98,2.5,Diesel,yes,2011,Pajero Sport,Casablanca,87000,Automatic,Second
BMW,1231000.0,sedan,16,3.0,Diesel,yes,2015,730,Casablanca,38000,Automatic,First
Mercedes-Benz,368800.0,crossover,120,3.0,Diesel,yes,2010,ML 350,tetouan,43000,Manual,Second
BMW,163890.0,sedan,135,2.5,Petrol,yes,2005,525,oujda,84169,Manual,First
Renault,,van,220,2.0,Diesel,yes,2008,Trafic,rabat,63050,Automatic,First
Volkswagen,99300.0,van,200,1.6,Diesel,yes,2011,Caddy,rabat,90000,Manual,Second
Mercedes-Benz,1280500.0,sedan,25,3.0,Diesel,yes,2015,S 350,rabat,53000,Automatic,First
Mercedes-Benz,82600.0,van,240,2.2,Diesel,yes,2005,Vito,rabat,45000,Automatic,First
Audi,940105.0,sedan,40,3.0,Diesel,yes,2015,A8,oujda,58000,Automatic,First
Renault,89200.0,vagon,192,1.5,Diesel,yes,2010,Logan,oujda,24393,Manual,First
Volkswagen,184200.0,crossover,220,2.5,Diesel,yes,2006,Touareg,sefrou,80000,Manual,Third
Volkswagen,124600.0,sedan,169,1.4,Gas,no,2013,Passat B7,dakhla,70000,Manual,Second
Volkswagen,64450.0,van,213,1.6,Gas,yes,2008,Caddy,hosseima,21719,Automatic,First
Audi,53989.0,crossover,242,2.5,Diesel,no,2003,A6 Allroad,rabat,82000,Manual,First
Volkswagen,70500.0,van,186,2.8,Petrol,yes,2000,Sharan,rabat,63400,Manual,First
Mercedes-Benz,,sedan,23,5.5,Petrol,yes,2011,S 550,agadir,55300,Manual,First
Mitsubishi,395000.0,crossover,0,2.4,Petrol,yes,2016,Outlander,sefrou,23000,Manual,First
Volkswagen,94700.0,van,244,2.5,Diesel,yes,2001,T4 (Transporter),Casablanca,12000,Manual,First
Mercedes-Benz,1086000.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,marrakech,8000,Automatic,Second
Mitsubishi,125489.0,van,98,2.4,Petrol,yes,2008,Grandis,tetouan,35010,Manual,First
Volkswagen,37500.0,hatch,201,1.9,Diesel,no,2002,Golf IV,hosseima,74755,Manual,First
Volkswagen,33100.0,sedan,390,1.8,Petrol,yes,1990,Passat B3,tanger,43053,Manual,First
Volkswagen,186000.0,van,157,2.0,Diesel,yes,2010,T5 (Transporter),tanger,16862,Manual,First
Volkswagen,206900.0,sedan,75,1.8,Petrol,yes,2011,Passat B7,mekness,46727,Manual,First
BMW,491800.0,sedan,63,4.4,Petrol,yes,2012,750,Casablanca,24000,Manual,First
Toyota,499500.0,crossover,45,3.5,Petrol,yes,2015,Highlander,oujda,50000,Manual,First
Volkswagen,116700.0,van,274,2.5,Diesel,yes,2001,T4 (Transporter),Casablanca,52000,Manual,First
Mercedes-Benz,46500.0,sedan,409,2.6,Petrol,yes,1991,E-Class,tetouan,40000,Manual,Second
BMW,400500.0,sedan,33,2.0,Diesel,yes,2014,328,oujda,73000,Manual,First
BMW,167289.0,other,136,,Petrol,yes,2008,523,hosseima,58953,Automatic,First
Mitsubishi,89200.0,sedan,160,2.0,Gas,yes,2007,Lancer X,hosseima,41057,Automatic,First
Mercedes-Benz,158500.0,van,205,2.2,Diesel,yes,2012,Sprinter 313,sefrou,46663,Manual,First
Mercedes-Benz,382900.0,crossover,64,2.2,Diesel,yes,2013,GLK 220,oujda,26875,Manual,First
Toyota,162900.0,hatch,100,1.8,Other,yes,2010,Prius,marrakech,17465,Automatic,First
Mercedes-Benz,46300.0,van,300,2.2,Diesel,no,2005,Vito,Casablanca,47000,Automatic,First
Toyota,251989.0,crossover,152,4.0,Gas,yes,2008,Land Cruiser Prado,tetouan,39000,Manual,First
Volkswagen,168800.0,sedan,56,1.4,Other,yes,2013,Jetta,marrakech,71400,Manual,Third
